UUID,IP,NAME,TAGS(Category:Value)
26367bb4-d2d8-47bd-aedf-88f411b1f195,10.0.0.135;13.57.193.134,ec2amaz-g421017.us-west-1.compute.internal;ip-10-0-0-135.us-west-1.compute.internal,
7529662f-588c-4f59-9471-1627c845200a,192.168.0.35,ciscoids4210.dc.demo.io,
46cf86c7-8171-49b6-804a-751437ec75c8,192.168.0.51,sonicwalltz300.dc.demo.io,
9f671eb3-186c-4aab-870d-5ad9450aa142,192.168.0.18,pa200.dc.demo.io,
1e710fde-cd40-4167-8efb-17794f85c3f1,192.168.97.0,devldap1.devldap1.dc.demo.io,
ca2f168a-28f3-401f-bed0-9e4fddd24195,192.168.48.88,windows8.dc.demo.io,
1213e07e-3bd3-43b2-a5c9-9286df1220e8,172.26.48.115;192.168.48.115,sccm.target.tenablesecurity.com;sccm.dc.demo.io,
30329f88-0d98-49c1-bb89-3d5318cba75c,192.168.48.150,opensuse42.dc.demo.io,
bac9bcfa-1125-48bf-b04a-03cc68bc4ff0,192.168.48.154,centos7phys.dc.demo.io,
1cf4edea-8ba9-47e9-a51a-b9c6083122c1,192.168.48.93,adsitarget.adsitarget.dc.demo.io,
6774d4de-f087-4bf2-a12d-59dc39986b77,172.26.48.145;192.168.48.145,windows2016.target.tenablesecurity.com;windows2016.dc.demo.io,
f7a246ab-4d3d-48f7-a306-2ccbc33e93fe,192.168.48.123,oracle11g.dc.demo.io,
8e81153e-b31f-4877-b81c-a3c37b89486c,192.168.48.152,oraclelinux6_9.dc.demo.io,
591aab27-bd51-425f-9059-62cb0291a7d1,192.168.97.59,ubuntu2004sw.dc.demo.io,
1c3961b9-c024-444d-9308-21926d2138f5,192.168.0.47,fortigate60e.dc.demo.io,
14e7b40c-e00a-484f-a78d-199583df489c,192.168.0.58,aerohive.dc.demo.io,
3ba5a482-e549-421d-9c64-2dd3ddb550b3,192.168.0.9,extremeswitch.dc.demo.io,
cd46e8ff-e674-4a43-b4bc-71a4ea15be2b,172.26.48.42,mandriva2011.target.tenablesecurity.com,
fbd2a275-80d4-4934-9e6b-b8c76fc3b216,172.26.48.51,rhel5x64.target.tenablesecurity.com,
2eda3bf1-2f15-447c-b8cc-72f0c911c88d,172.26.48.33,osx109.target.tenablesecurity.com,
60a866ca-6bd2-4fab-b568-b25019b61d71,172.26.48.150,opensuse42_2.target.tenablesecurity.com,
7ba91227-ca9d-41d6-84b4-e06f110bfeba,172.26.48.78,webapp1.target.tenablesecurity.com,
ba671a6e-1556-407f-969d-dea31c2502fb,10.0.0.38,ip-10-0-0-38.ap-southeast-1.compute.internal,
