UUID,IP,NAME,TAGS(Category:Value)
afee249e-93d6-42e1-9e7f-7a4379daeff9,10.0.0.55,ec2amaz-g421017.us-west-1.compute.internal;EC2AMAZ-G421017.us-west-1.compute.internal,
b81f96c8-6880-47e7-80b0-af7faa2ce812,192.168.0.17,g610.dc.demo.io,
39820c63-b77a-4b8c-878e-de224f1bd270,44.241.194.21,target1.pubtarg.tenablesecurity.com,
79ea796a-5d54-4cc0-a09c-932c6471eee2,192.168.0.231,research-nlf-001.dc.demo.io,
21a84f9c-632f-47df-a22c-46714c0402a4,192.168.0.225,cisco4503.dc.demo.io,
00697986-5c3f-4cf9-9861-94e2960ec8d6,192.168.0.116,solaris10vm1.dc.demo.io,
771866e6-af02-4077-9eb4-fccf6c5d706f,192.168.0.44,pcap-depot.dc.demo.io,
2f0221f2-1ed1-4c77-80f8-54695c509f33,192.168.16.11,netservices2.dc.demo.io,
edf6bc55-a445-45d3-a304-a989a635520a,192.168.48.46,ubuntu2004desk.dc.demo.io,
03d998c0-4376-4665-878c-53ffe01f5ca5,10.0.0.16,ip-10-0-0-16.ap-southeast-1.compute.internal,
6adc4a56-f92e-4ed8-ad86-9f7675daa976,192.168.0.8,huaweiar151.dc.demo.io,
2bed6a67-c23e-4845-a0cf-f62416ebba29,192.168.0.36,ciscoips4240.dc.demo.io,
0604d75f-2e73-49be-baed-b7a38c9bbe50,192.168.0.32,appletv.dc.demo.io,
f575815a-b20c-4c2b-8964-271b5cd7966b,192.168.48.54,fedoraserver32.dc.demo.io,
7eb10331-1caf-498a-87c6-ed4fcc5f10bb,192.168.97.0,devldap1.devldap1.dc.demo.io,
f509a83f-468c-4e7a-a017-391f7e1550da,192.168.97.50,jayson-dev2.dc.demo.io,
0767a9ba-4e46-4c55-8c08-7d20e47e502f,172.26.48.20,esxi6u3a.target.tenablesecurity.com,
32dd6c67-6bb2-4a77-9aa4-a742b29df16c,192.168.0.109,iosxrv432.dc.demo.io,
f67fd68c-2577-4ca5-8092-9d36bc35b3eb,192.168.0.70,polycomvvx301.dc.demo.io,
08bcd9e1-ae61-43b6-99bf-4d1be8228dea,192.168.48.17,oraclelinux8.dc.demo.io,
d1be3e3e-0e83-47ab-b6be-04f5385b28d8,192.168.97.84,tenable-2sv9fdjp.dc.demo.io,
7b96895d-5d08-4048-8e09-4700fca700e9,172.26.48.25,centos6x64.target.tenablesecurity.com,
7bd1d7d7-e1ea-4409-9c52-7edf4a9314bf,10.0.0.91,ip-10-0-0-91.ap-southeast-1.compute.internal,
d70801a8-8c00-4e53-9ffd-7f0f13b4f327,192.168.0.45,hpux11iv3.dc.demo.io,
0e27e414-9607-43c6-982b-688ab9e7f66f,192.168.0.18,pa200.dc.demo.io,
cf7069d6-5519-4c26-a5a3-209a694b8245,172.26.48.145;192.168.48.145,windows2016.target.tenablesecurity.com;windows2016.dc.demo.io,
a97fa57d-4e50-4200-b3f3-a52754597074,192.168.97.82,ubuntusw2104.dc.demo.io,
8596de03-6447-4584-831d-21479a572573,192.168.0.34,hmc.dc.demo.io,
b90ef21a-925c-48e4-96d4-22d5c68953f1,172.26.48.24,centos6.target.tenablesecurity.com,
e93f5289-7633-4a06-834e-e1f43bbd97d5,192.168.97.47,tenable-b92gx8a8.dc.demo.io,
1d4ccdef-4e69-47a5-b687-55a0f717bda5,192.168.48.19,centos8.dc.demo.io,
3bcb22e1-2aa9-490b-81cb-c05be3282bbb,192.168.97.85,win-civoe5vjlc1.dc.demo.io,
1570df63-2224-4886-a876-1522fe250e14,172.26.48.118;192.168.48.118,win1064.target.tenablesecurity.com;win1064.dc.demo.io,
38db42ed-b6fd-48c0-a276-0437e8d4f27f,192.168.0.83,solaris11vm2.dc.demo.io,
47e8085c-927e-4e78-bd99-2a7ada252d50,192.168.0.81,netmon.dc.demo.io,
5a7179e7-cd29-4873-9776-e15f79f40d3c,192.168.0.229,research-nct-001.dc.demo.io,
0d488023-19a7-49e4-87fd-cccd0a628639,192.168.48.27,mint20.dc.demo.io,
b2438ef1-b6c2-45f7-9f86-f8232d506b69,192.168.48.154,centos7phys.dc.demo.io,
7c0c59da-ad3b-41e8-9315-375393065f7c,192.168.0.47,fortigate60e.dc.demo.io,
ca0dcd14-53b8-4f9d-904f-2a3944d501c9,192.168.97.97,tenable-714edyfw.dc.demo.io,
e9a3f5d8-abc2-4976-bb8f-ffbb93be7a96,192.168.0.25,nokia7210.dc.demo.io,
f73615a1-c70e-47a3-a129-6ca6b304ca04,192.168.97.51,tenable-uh0rb1yd.dc.demo.io,
fc83a14f-c381-4b9a-a712-c56c6acc01d2,192.168.48.35,esxi67.dc.demo.io,
ac470f08-a7b5-47fc-8a68-0d761dddb66d,192.168.48.22,osx1013.dc.demo.io,
4b66132f-12f1-4c5a-b315-c55552ea9360,192.168.0.227,nexus3048-2.dc.demo.io.dc.demo.io,
56f1eb1c-ee53-4264-ae3c-ca2ca3b567c7,192.168.18.254,neng-a3-win2k8r2entx64.agentlab.qa,
93a75b9c-b0ff-41ce-810a-9a6518aa2733,192.168.18.231,neng-m1-win2k8r2entx64.agentlab.qa,
3b368a3e-7356-4a29-bde4-0aa0a64f89e6,192.168.48.149,oraclelinux7_3.dc.demo.io,
cf6f625d-fd0f-4d32-9587-2a61763e3a95,192.168.0.13,hpprocurve3500.dc.demo.io,
a35c9564-81c6-46e4-b5db-499b0ef6a241,192.168.0.9,extremeswitch.dc.demo.io,
795ff5b1-7b0a-4f8e-8fd7-1ae9bd81df77,192.168.48.28,macos1015.dc.demo.io,
f3801765-c514-496f-913d-78d84082f4da,192.168.48.39,esxi67phys.dc.demo.io,
76437fd1-1af8-4211-9888-963e13e450e7,192.168.48.59,vcenter67phys.dc.demo.io,
ebc84c19-728b-4a7e-9dd4-2b6030165217,192.168.0.72,linksysea6400.dc.demo.io,
67391f20-36ab-4b29-a303-07fe5d47f321,192.168.0.55,cisco2960x.dc.demo.io,
807ab607-4a2f-4e27-b726-bfddb7eefc16,192.168.48.152,oraclelinux6_9.dc.demo.io,
7a670400-ea4b-46a1-8443-02ee348d26c8,192.168.97.49,cent7sw.dc.demo.io,
223b3cf5-3df6-43ab-bf68-ec59226d01b0,192.168.0.10,alos6250.dc.demo.io,
14d97e6a-2644-4601-96e4-1511ca98312e,192.168.48.13,oracle12c.dc.demo.io,
69272c5c-1772-4a0f-a922-560c01b9d075,192.168.0.76,hyperv2012.hyperv.dc.demo.io,
626dfe22-c593-4b9f-a9b0-5fb357c1870e,192.168.48.116,win2012r2.dc.demo.io,
688c1d5f-06ec-41c6-a46c-ac376891b33d,192.168.48.33,ubuntu2010desk.dc.demo.io,
acab90e5-70d2-46f4-8b1d-ca3840bc0370,192.168.0.117,oracledb11sol10.dc.demo.io,
4c603c6c-6854-4959-9848-bcc4e8dea424,192.168.48.104,rhel7.dc.demo.io,
