UUID,IP,NAME
13deb96b-3432-468c-b91c-d3058e921d47,10.0.0.8,ip-10-0-0-8.ap-south-1.compute.internal
06680e0f-3d2f-41c8-b2f8-a4d8ef0c26e6,192.168.48.127,jboss.dc.demo.io
b7ce7817-bfb4-4f97-93a0-116dc4b87f15,192.168.18.205,neng-a3-win2k8r2entx64.agentlab.qa
88abec13-69f4-4027-ac00-f376506f7a40,192.168.0.117,oracledb11sol10.dc.demo.io
a519ad1a-d771-4eb7-b55a-16c61aad8c84,192.168.97.59,ubuntu2004sw.dc.demo.io
f1d46c07-7a1e-47fa-bf88-85dd384164e7,192.168.0.58,aerohive.dc.demo.io
55e2eecb-b495-4c22-acfa-299abd4cd87b,192.168.97.48,tenable-scinstance.dc.demo.io
13da1db3-f871-4e4a-8b93-87f5dffce868,172.26.48.87;192.168.48.87,winserver2012.target.tenablesecurity.com;winserver2012.dc.demo.io
48df26e2-5504-4337-8875-9d681b18c982,192.168.48.149,oraclelinux7_3.dc.demo.io
77abfb0f-84d0-48c0-884b-86bf3c1ad4ba,192.168.0.67,sol10ora11.dc.demo.io
ae10486d-351c-4432-b466-e8a0e9e4e6d1,192.168.0.66,oraclevmsrv1.dc.demo.io
868d0765-0d7b-4428-9961-ed573cf3edc8,192.168.48.48,opensuse15.dc.demo.io
b1c2de22-a529-425a-ba60-0aa4289a7c5f,192.168.0.76,hyperv2012.hyperv.dc.demo.io
92c8ebcb-2a16-4b74-a6e4-06454f475f44,192.168.0.105,merakimr20.dc.demo.io
d301ab88-e518-4116-bb72-cf24824b2992,192.168.0.233,research-nct-001-cimc.dc.demo.io
eddf6b13-b0ce-45b7-a9f2-d664a541297c,192.168.0.231,research-nlf-001.dc.demo.io
f8150fea-7599-4d8b-b00d-7dd314e80f13,192.168.48.88,windows8.dc.demo.io
189bf31a-e3b5-4d44-a29c-eaad81c34112,65.1.106.181;10.0.0.55,ec2-65-1-106-181.ap-south-1.compute.amazonaws.com;ip-10-0-0-55.ap-south-1.compute.internal
80d4e1cc-0a0a-4a26-8056-91ddf990b0b7,10.0.0.71,ip-10-0-0-71.us-east-2.compute.internal
a960c027-7ed9-4761-8a90-9a451c91f8d5,10.0.0.91,ip-10-0-0-91.ap-southeast-1.compute.internal
965102f3-6b93-4e78-ba3a-5ec99145fb01,192.168.0.45,hpux11iv3.dc.demo.io
23392bd0-da92-44f4-8562-9e28a29f5dbd,192.168.0.46,bluecoatproxysg.dc.demo.io
71b32a12-d7aa-44f7-9603-bb3bd581b737,192.168.0.79,ilo.dc.demo.io
0bc52026-1140-4ab4-8186-7bd63e608a26,10.0.0.16,ip-10-0-0-16.ap-southeast-1.compute.internal
93d817e1-85e3-460c-af32-347a38546c02,192.168.97.92,kk-frosty-wiles.dc.demo.io
f555a9fd-c10b-4bca-8575-5661103037ea,172.26.48.50,rhel5x86.target.tenablesecurity.com
bfbdbcb6-2936-4066-9b9e-69a38b2284ff,192.168.0.70,polycomvvx301.dc.demo.io
3e24de7a-56c7-41b1-aa07-c507b127c09b,192.168.0.104,opengearresiliencegateway.dc.demo.io
de232f6d-818f-4931-af89-072f7dfccc9b,192.168.18.248,neng-m1-win2k8r2entx64.agentlab.qa
3391d4ef-6896-40d1-a1e1-6ac15b816e41,172.26.48.14;192.168.48.14,sql2016.target.tenablesecurity.com;sql2016.dc.demo.io
938889fd-1384-4b99-9dc8-f6cd3dd27e40,192.168.97.253,dev-benchmark.dc.demo.io
cf7e60b3-8c34-4528-a5e0-a8f51279d4a0,192.168.97.45,mdinh-virtual-machine.dc.demo.io
73740086-08cd-4f34-a61d-4d5ed74c2aeb,192.168.0.44,pcap-depot.dc.demo.io
ba92dd2b-819b-46bc-83ae-cac6f8cfc4de,192.168.48.17,oraclelinux8.dc.demo.io
0d755c08-4e07-4810-8e71-857353421a2e,192.168.0.228,nexus5548up-1.dc.demo.io
0cc86d41-4ac7-43e6-bd89-130c0641e11d,172.26.48.10;192.168.48.10,dc1.target.tenablesecurity.com;dc1.dc.demo.io
854066f2-4f69-40d0-9f75-e85f00e30393,192.168.97.55,tenable-director.dc.demo.io
6c11ee96-7377-4a80-a132-62b98295a221,192.168.97.82,ubuntusw2104.dc.demo.io
245090c9-7fe1-4c7d-b137-6591639c0caf,172.26.48.28,ubuntu1710-server.target.tenablesecurity.com
f2f8b66b-035c-4fbf-a0e3-6aca23c45258,192.168.0.73,linksysea2700.dc.demo.io
b91ce369-2b15-4568-a3bf-2ab3878d2bf6,192.168.48.61,fedoraserv33.dc.demo.io
6ebd2b59-1e3e-4d52-9d89-b52a15c993a2,172.26.48.15;192.168.48.15,sccm2016-1702.target.tenablesecurity.com;sccm2106-1702.dc.demo.io
58e82a0c-d8e8-40c3-8aa0-2b21fada8dec,192.168.0.60,hypervdc.hyperv.dc.demo.io
78b3165c-a579-4120-b7ec-b39fd93ec385,192.168.97.102,abhishek-test2.dc.demo.io
d161af49-f795-40f7-a0d8-dc46a98fffe5,192.168.97.100,win-2ugjdj85t7r.dc.demo.io
5a7112b2-6dcb-4cfd-8be8-8153ec36f8c7,192.168.97.58,squid.dc.demo.io
1e0d56d5-e10c-426c-8195-d284ca3a1260,192.168.0.21,netservices4.dc.demo.io
9bc7c985-12f9-4ae0-ba78-f8d4273c9095,192.168.97.47,tenable-b92gx8a8.dc.demo.io
67d3a29f-0657-4177-876e-3fce86c4543f,192.168.0.98,ciscosf500.dc.demo.io
b7441ed3-e26c-4415-a425-26746a93c771,192.168.97.39,sachit-test4.dc.demo.io
bb025b74-8fa8-495f-9a59-02bf8e7bf061,192.168.48.18,debian11.dc.demo.io
0c7e7940-15ea-4a4c-b2d6-50b197efcef7,192.168.0.224,cisco2951.dc.demo.io
c69dc898-6863-47e0-a783-b09482aabc45,192.168.0.116,solaris10vm1.dc.demo.io
e3326dda-9631-4687-bf46-86af4f848863,172.26.48.20,esxi6u3a.target.tenablesecurity.com
6eb0a849-13be-445f-936d-b9d1e197f809,192.168.97.75,tenable-7b1dvpv7.dc.demo.io
69bb2e12-8d42-4b7a-ba5b-5f297202beee,192.168.0.103,opengearconsoleserver.dc.demo.io
3e5f5b6d-2a93-4c18-8af2-3cdb875fd081,192.168.97.51,tenable-uh0rb1yd.dc.demo.io
8ca9035b-923c-40fb-b554-53901b190149,192.168.0.96,ciscovmsandbox.dc.demo.io
