UUID,IP,NAME,TAGS(Category:Value)
9d65ebe0-280e-4e42-a002-d978e6cdd0ec,10.0.0.248,ip-10-0-0-248.ap-southeast-1.compute.internal,OS:Windows
d31d0f10-3bc3-45c7-abdd-9f1749552e15,10.0.2.87;54.252.175.177,ec2-54-252-175-177.ap-southeast-2.compute.amazonaws.com;ip-10-0-2-87.ap-southeast-2.compute.internal,OS:Windows
d8cee149-8eed-4796-aa06-bfa513a76dc4,10.0.0.25;100.26.176.158,ec2-100-26-176-158.compute-1.amazonaws.com;ip-10-0-0-25.ec2.internal,OS:Windows
c6a022b3-6add-4abb-adc9-40bab87d85a8,10.0.2.99;54.171.185.67,ec2-54-171-185-67.eu-west-1.compute.amazonaws.com;ip-10-0-2-99.eu-west-1.compute.internal,OS:Windows
ae7fb04b-d7ee-4947-a7f5-9af86afd93d0,172.26.48.136,vcenter6u2.target.tenablesecurity.com,OS:Windows
2bdc60c2-c1e7-48c1-aef5-af7c1c37a090,172.26.48.75,win7x64.target.tenablesecurity.com,OS:Windows
1603c7ef-be90-49fc-8fae-d37a0e779fe9,192.168.97.64,win-t6jsv8jvnk0.dc.demo.io,OS:Windows
7dfb367f-5a56-4076-8a24-5eae56d8cb8e,10.0.2.99,ip-10-0-2-99.us-east-2.compute.internal,OS:Windows
96e155af-e47a-42e1-a1fd-56910d178853,172.26.48.74,win7x86.target.tenablesecurity.com,OS:Windows
3e73068a-3daa-4b1c-aa7c-10bc760568e4,10.0.0.181;100.26.180.64,ec2-100-26-180-64.compute-1.amazonaws.com;ip-10-0-0-181.ec2.internal,OS:Windows
9ddc269c-7a3a-4b21-9889-0cab86ad435c,10.0.2.99;18.195.3.5,ec2-18-195-3-5.eu-central-1.compute.amazonaws.com;ip-10-0-2-99.eu-central-1.compute.internal,OS:Windows
e67ae3da-5b6e-4aad-8297-15da649d443f,192.168.10.97,ip-192-168-10-97.ec2.internal,OS:Windows
a8ed47c0-93ce-46d0-b02b-63b4f2562f7f,10.0.0.214,ip-10-0-0-69.us-east-2.compute.internal,OS:Windows
f00850f7-e1b4-4db7-ba0f-8184c3d9a21e,10.0.2.87;3.26.0.98,ec2-3-26-0-98.ap-southeast-2.compute.amazonaws.com;ip-10-0-2-87.ap-southeast-2.compute.internal,OS:Windows
1bcc90ec-ffa3-4e9c-96c6-2d7cf379c8a8,192.168.97.70,win-55s3nk4etuv.dc.demo.io,OS:Windows
2667a976-0131-4df9-8bae-313e1a848468,172.26.48.116,windows2012r2.target.tenablesecurity.com,OS:Windows
a05973a3-d534-44ec-96f5-764b2a5317bd,10.0.2.99;13.40.57.64,ec2-13-40-57-64.eu-west-2.compute.amazonaws.com;ip-10-0-2-99.eu-west-2.compute.internal,OS:Windows
e3906780-ef6a-43be-907c-ccd16386f518,10.0.2.99;13.36.209.253,ec2-13-36-209-253.eu-west-3.compute.amazonaws.com;ip-10-0-2-99.eu-west-3.compute.internal,OS:Windows
2ead988f-7075-4d8f-bf5c-eef79feff3fb,54.199.9.115;10.0.2.34,ec2-54-199-9-115.ap-northeast-1.compute.amazonaws.com;ip-10-0-2-34.ap-northeast-1.compute.internal,OS:Windows
cc3b6acc-cfa0-481f-97a7-0c86a02049d2,10.0.2.87;13.37.217.174,ec2-13-37-217-174.eu-west-3.compute.amazonaws.com;ip-10-0-2-87.eu-west-3.compute.internal,OS:Windows
46076c4e-d35b-42a7-8c6b-d16b4cc7c94e,172.31.29.213,ip-172-31-29-213.us-west-1.compute.internal,OS:Windows
54ab0b48-b647-4cb3-a120-1000d6c32778,10.0.2.99;3.87.116.191,ec2-3-87-116-191.compute-1.amazonaws.com;ip-10-0-2-99.ec2.internal,OS:Windows
168fbba3-cca2-41c7-9460-9b34d0e15c44,3.101.64.11;10.0.1.187,ip-10-0-1-187.us-west-1.compute.internal,OS:Windows
787dbc1c-2a73-48e6-b96d-c07f9c8e777e,3.250.118.249;10.0.0.55,ec2-3-250-118-249.eu-west-1.compute.amazonaws.com;ip-10-0-0-55.eu-west-1.compute.internal,OS:Windows
165be412-f36e-411a-ad69-270fbee5df7b,172.31.3.250,ip-172-31-3-250.us-west-1.compute.internal,OS:Windows
84441955-4f29-413c-b55a-78b9a948361d,192.168.97.0,devldap1.devldap1.dc.demo.io,OS:Windows
af23bad4-1c5b-4d82-9a96-5865bb2369d9,172.26.48.140,win10anny32.target.tenablesecurity.com,OS:Windows
230d1064-b743-41d8-97a9-438aefe84ce2,10.0.2.99;13.38.69.154,ec2-13-38-69-154.eu-west-3.compute.amazonaws.com;ip-10-0-2-99.eu-west-3.compute.internal,OS:Windows
0ae029dd-21d6-4a8e-a6e0-156b46f52f47,10.0.2.99,ip-10-0-2-99.eu-west-1.compute.internal,OS:Windows
c1dbeee7-4877-4e10-b1b7-ebfa63512976,172.26.48.15;192.168.48.15,sccm2016-1702.target.tenablesecurity.com;sccm2106-1702.dc.demo.io,OS:Windows
afc8b341-1069-4bc2-9098-8218608e35c3,172.31.5.239,ip-172-31-5-239.us-west-1.compute.internal,OS:Windows
bb8950f2-4ec0-466b-8329-d4d9c02ab9c8,10.0.2.99,ip-10-0-2-99.ca-central-1.compute.internal,OS:Windows
de30fac2-14b2-4cab-afb6-7d7f5015404c,192.168.0.38,bal-lab-hyp-004.hyperv.dc.demo.io,OS:Windows
840cc754-5a12-4bb6-84cd-9a16e7788d3c,3.252.89.36;10.0.0.70,ec2-3-252-89-36.eu-west-1.compute.amazonaws.com;ip-10-0-0-70.eu-west-1.compute.internal,OS:Windows
bd3cd006-15b0-415d-baae-221b2b604dae,172.26.48.119,segvip.target.tenablesecurity.com,OS:Windows
a3b1a46c-9ce7-4bf1-a9b5-ae7505a45387,15.206.145.159;10.0.0.52,ec2-15-206-145-159.ap-south-1.compute.amazonaws.com;ip-10-0-0-52.ap-south-1.compute.internal,OS:Windows
c7b7498c-c953-4f78-9a29-4a82231a8225,172.26.48.141,win10anny64.target.tenablesecurity.com,OS:Windows
5c526633-fc79-4316-8a34-a177cf66f978,192.168.97.68,win-6aldbop2jfo.dc.demo.io,OS:Windows
386e79aa-b272-4cd5-aed7-7fd544645418,192.168.97.100,win-2ugjdj85t7r.dc.demo.io,OS:Windows
6eecf428-9afb-4c8d-8f54-765be152c57a,192.168.48.41,sharepoint2019.dc.demo.io,OS:Windows
bc8b3c70-6791-4955-8071-3ba7a443f671,192.168.9.102,ip-192-168-9-102.ec2.internal,OS:Windows
bae428b4-8050-4990-a2a6-b7cf60e4bdf0,172.26.48.65,win2k8r2.target.tenablesecurity.com,OS:Windows
0cbb0282-0942-408c-8aab-9ce62bcbacdd,10.0.2.99;3.249.1.214,ec2-3-249-1-214.eu-west-1.compute.amazonaws.com;ip-10-0-2-99.eu-west-1.compute.internal,OS:Windows
d138576a-6fdc-442a-95a8-cab8426612c7,172.26.48.18,sql2014.target.tenablesecurity.com,OS:Windows
4a32c6d3-fc49-4aeb-ab2f-aafa4bea2d07,10.0.2.212,ip-10-0-2-212.us-west-1.compute.internal,OS:Windows
1f712c90-d562-4182-8c5e-acf449231933,10.0.2.221,ip-10-0-2-221.us-west-1.compute.internal,OS:Windows
0e24a279-69cd-4a21-be70-3b6b3205f3c9,10.0.2.99;15.236.208.195,ec2-15-236-208-195.eu-west-3.compute.amazonaws.com;ip-10-0-2-99.eu-west-3.compute.internal,OS:Windows
7269f45a-2465-441d-9b7d-dd719b9ffb48,13.211.147.226;10.0.0.52,ec2-13-211-147-226.ap-southeast-2.compute.amazonaws.com;ip-10-0-0-52.ap-southeast-2.compute.internal,OS:Windows
277eb3a5-fac1-4c74-a7ee-e245b54bdf7d,172.26.48.95,sccmhost.target.tenablesecurity.com,OS:Windows
0a8a1911-59c0-4fcb-b158-d7476b0ce2c7,192.168.0.76,hyperv2012.hyperv.dc.demo.io,OS:Windows
1e678485-26f8-426c-9a96-bd3cfbee4c75,50.19.161.97;10.0.2.99,ec2-50-19-161-97.compute-1.amazonaws.com;ip-10-0-2-99.ec2.internal,OS:Windows
2df43c5a-e285-4abe-bc1b-ac5b8f267841,54.245.207.237;10.0.0.187,ec2-54-245-207-237.us-west-2.compute.amazonaws.com;ip-10-0-0-187.us-west-2.compute.internal,OS:Windows
96b21bd0-3124-4268-8920-870b56a3570d,192.168.8.5,ip-192-168-8-5.ec2.internal,OS:Windows
5d631608-c845-49d7-a2f2-750ad3954e7a,10.0.2.99;52.214.69.200,ec2-52-214-69-200.eu-west-1.compute.amazonaws.com;ip-10-0-2-99.eu-west-1.compute.internal,OS:Windows
d6a73363-2ea8-4e5e-a5fa-79d311fd8e85,172.31.61.22;54.208.27.190,ec2-54-208-27-190.compute-1.amazonaws.com;ip-172-31-61-22.ec2.internal,OS:Windows
6299bff3-7615-4f29-9aba-aceefed5b296,10.0.2.34,ip-10-0-2-34.us-west-2.compute.internal,OS:Windows
b10fc1c4-7885-4614-ba58-46c0f56d3195,10.0.2.87,ip-10-0-2-87.us-west-2.compute.internal,OS:Windows
62ed3fd0-2a08-4119-b9ff-73c689bbbae2,10.0.2.34,ip-10-0-2-34.us-west-1.compute.internal,OS:Windows
7e2f647b-863c-48ba-aff0-26334816524f,10.0.2.248,ip-10-0-2-248.ap-northeast-1.compute.internal,OS:Linux
70a559ae-46fe-425e-bba4-bd7056118d7f,10.0.2.87,ip-10-0-2-87.ap-south-1.compute.internal,OS:Windows
b8220ee1-a488-4c49-81d7-566f9ca10a6d,10.0.2.99,ip-10-0-2-99.ap-northeast-1.compute.internal,OS:Windows
c729d6f3-f685-4521-ae91-19a9c2c0a8cc,10.0.2.244,ip-10-0-2-244.ap-northeast-1.compute.internal,OS:Linux
0a7598a2-22e5-4472-b928-d7081a17b14e,10.0.2.6,ip-10-0-2-6.ap-northeast-1.compute.internal,OS:Linux
0f4c7da1-9369-46d1-8e36-cbda67414af3,10.0.2.245,ip-10-0-2-245.ap-northeast-1.compute.internal,OS:Linux
