UUID,IP,NAME,TAGS(Category:Value)
50d51344-82e1-4724-a464-7fb1fb08b737,192.168.0.16,ciscoasa5505.dc.demo.io,
5f2498bf-34e8-465e-92b9-fe94f20bb9bc,192.168.97.54,tenablesc-isprint-64.dc.demo.io,
ebb67f7e-21d0-461a-955d-b15b0b37a3be,192.168.97.79,nbarrett-dev.dc.demo.io,
71b87c8d-e46c-49cb-89a1-a965ae6f9bf6,192.168.48.41,sharepoint2019.dc.demo.io,
bc97130f-b02d-417f-96b3-58081b2593d6,192.168.48.62,debian10.dc.demo.io,
1c014679-35f0-485b-916a-de30c37f1ce2,192.168.0.49,ciscoasa5506x.dc.demo.io,
a704e691-83e9-495b-821a-b920c1c9b0e9,192.168.0.34,hmc.dc.demo.io,
cf1481a9-bc92-4bd3-82d6-0e9263a584d0,192.168.0.231,research-nlf-001.dc.demo.io,
3dd20f22-c0a5-4496-ba86-25fe1b2167a0,192.168.97.100,win-2ugjdj85t7r.dc.demo.io,
2e4c0023-b322-4129-ae88-c474c24fca1f,192.168.97.45,mdinh-virtual-machine.dc.demo.io,
4e999987-ddef-40d7-b941-9dd3f8f897d0,10.0.0.16,ip-10-0-0-16.ap-southeast-1.compute.internal,
e0375263-edea-4a4d-b604-e5a68bea90ea,192.168.48.54,fedoraserver32.dc.demo.io,
6b518cfb-0bdf-49aa-8a48-16ad6e1e7a98,192.168.0.46,bluecoatproxysg.dc.demo.io,
8af45c35-231d-42f4-a603-b614d5a3e793,192.168.48.40,openmandriva4.dc.demo.io,
15133fb7-8465-4351-ac25-8a19acf68637,192.168.18.233,neng-m1-win2k8r2entx64.agentlab.qa,
e66eb75e-85f9-4f50-8433-4aa2dee41571,172.26.48.145;192.168.48.145,windows2016.target.tenablesecurity.com;windows2016.dc.demo.io,
c998920f-a1e2-4941-8d65-8516e3212d30,172.26.48.14;192.168.48.14,sql2016.target.tenablesecurity.com;sql2016.dc.demo.io,
e509fbc6-cd19-48c3-bdcd-9c5754c55677,192.168.97.82,ubuntusw2104.dc.demo.io,
d033caca-2b54-4946-9bfa-e83f17567665,192.168.0.35,ciscoids4210.dc.demo.io,
d4b0cdbb-c068-4149-a329-40b2e474b4aa,172.26.48.50,rhel5x86.target.tenablesecurity.com,
3b833732-7697-42c3-844f-2af5373e6ec9,192.168.0.84,steelhead.dc.demo.io,
b7176ee5-748c-4393-83f7-9f4f5fb92263,192.168.0.60,hypervdc.hyperv.dc.demo.io,
fdd4e744-ab74-46f3-ac57-74f0148c412f,192.168.0.72,linksysea6400.dc.demo.io,
9cb8b3ea-bda9-4e95-9960-4dbd82509651,192.168.0.226,nexus3048-1.dc.demo.io,
cdb9c415-461f-496f-b107-2c9b0b60792f,192.168.18.180,neng-a3-win2k8r2entx64.agentlab.qa,
80dd5482-be3b-4a3a-bec6-049cb9bfb111,192.168.97.102,abhishek-test2.dc.demo.io,
78c1741f-d5b2-4bc9-9e93-43b7768858ee,192.168.0.48,cisco3850x.dc.demo.io,
5daf949f-2cb9-4ba3-a8a7-94cc0c05f037,192.168.0.117,oracledb11sol10.dc.demo.io,
76e36375-ef82-4495-9995-9439eb004d48,192.168.48.35,esxi67.dc.demo.io,
872880b6-6dcc-4636-9542-ee16e9b0ff6b,192.168.48.93,adsitarget.adsitarget.dc.demo.io,
73532194-665d-4ccf-85ee-18278c841053,192.168.0.108,extreme440.dc.demo.io,
e1275623-a4e4-49b3-ab40-6b21cf5bc376,192.168.0.81,netmon.dc.demo.io,
d1942940-3de5-46f0-a61e-c10295eb6d43,192.168.97.60,sachit-test1.dc.demo.io,
f64a1a82-ef1b-40cd-a359-1bed668f25c4,192.168.18.221,centos8.dc.demo.io,
a3ab81d5-0f21-47ca-83b1-b9af8a867506,192.168.18.248,neng-m1-win2k8r2entx64.agentlab.qa,
aeeebf47-395f-4a4f-9f96-6e2e76c58716,192.168.48.154,centos7phys.dc.demo.io,
98f19c60-3cc6-486a-9f34-2e23e4c61719,192.168.0.76,hyperv2012.hyperv.dc.demo.io,
b677d0d0-0fe0-456d-9b59-824d828a2f91,192.168.48.104,rhel7.dc.demo.io,
8b357730-ad86-4091-b3b4-680a0180c8de,192.168.0.50,iseries71.dc.demo.io,
422f4a9a-3352-403d-86e8-d31f10b8375f,192.168.0.229,research-nct-001.dc.demo.io,
61697c5b-d697-47e7-ae52-320ae332e068,192.168.0.233,research-nct-001-cimc.dc.demo.io,
d9a9daf5-7f40-4a26-b4b6-e156669ff46f,172.26.48.10;192.168.48.10,dc1.target.tenablesecurity.com;dc1.dc.demo.io,
81ed4120-3313-4a3f-ad6e-1114da0b89e4,192.168.48.18,debian11.dc.demo.io,
73d4596c-1572-4eb7-a4d3-e83231eaa62e,44.241.194.21,target1.pubtarg.tenablesecurity.com,
f85fa584-1d08-435f-a594-87e4da07621e,192.168.0.116,solaris10vm1.dc.demo.io,
29f0348d-38c4-460c-a7ef-56e4a186dfaa,3.144.39.241;10.0.0.71,ec2-3-144-39-241.us-east-2.compute.amazonaws.com;ip-10-0-0-71.us-east-2.compute.internal,
81010d9f-9c03-4e72-a5dc-9afe95e7675e,192.168.0.53,idrac-r320.dc.demo.io,
45bc7501-a8d9-4a02-80e9-78ffb7f10716,192.168.0.140,arista7010.dc.demo.io,
dfd3fcb6-aeb5-4830-98a4-d0f8b0eac500,192.168.97.95,tenable-7xpfu3ma.dc.demo.io,
24eb60f1-6d27-43b2-9e55-e685ab37d69f,192.168.48.19,centos8.dc.demo.io,
71af693c-02f0-4eae-9f26-908f7829d3ab,192.168.97.72,sachit-test3.dc.demo.io,
6a6b4579-4c8d-42e3-a27a-aed3c623718b,192.168.48.43,citrixhypervisor.dc.demo.io,
90c1019d-efb6-42f9-946a-c0954f3ac04e,192.168.0.96,ciscovmsandbox.dc.demo.io,
e9529238-99b1-49ed-b2d0-ccd3fd5c2f61,192.168.0.58,aerohive.dc.demo.io,
341a233f-31c9-44d0-91ce-8dffef4e76f8,192.168.97.39,sachit-test4.dc.demo.io,
a085eef8-40fe-478c-90b1-344528540d77,192.168.48.59,vcenter67phys.dc.demo.io,
e1d7d46f-c6c8-4ae2-ac12-d0bbd72e0804,192.168.0.65,aix71.dc.demo.io,
8124f0a0-22ad-47f8-a348-823564265544,192.168.18.254,neng-a3-win2k8r2entx64.agentlab.qa,
200fbffb-7cad-482a-95ba-af72abe6fc82,192.168.0.18,pa200.dc.demo.io,
61e4ef5e-a2f4-4832-b1db-f5caf6a64ee6,192.168.97.44,tenable-u7hcqyj9.dc.demo.io,
6dd78cb9-3ab6-4a43-ae29-ed3502dacfd1,192.168.0.62,terastation.dc.demo.io,
466b7209-94cd-4bcd-bfcb-1fb1e289c2b2,192.168.97.89,tenable-axy6mbvk.dc.demo.io,
12210c6a-5f3b-4329-8fd5-92576c664cc9,192.168.48.65,vcsa7.dc.demo.io,
f2e96d82-7eaf-4003-841d-f42b7a9de7b4,172.26.48.115;192.168.48.115,sccm.target.tenablesecurity.com;sccm.dc.demo.io,
d7a9c8c2-915b-4789-93b1-0f0641c31d34,192.168.0.200,bal-lab-hyp-001.dc.demo.io,
2fcf3d9d-d493-4506-b0bd-60d74bd11b1d,192.168.48.153,debian9.dc.demo.io,
e6ece8ec-5c9c-4ff9-a9fc-ec6982f19079,172.26.48.20,esxi6u3a.target.tenablesecurity.com,
f362ec3b-507d-4b71-829a-6d1891184c6b,192.168.0.47,fortigate60e.dc.demo.io,
ff73c674-83e9-425d-82ae-da7237573691,192.168.97.51,tenable-uh0rb1yd.dc.demo.io,
c53355e2-78dc-44f7-827a-e38e2dbf4fed,192.168.0.59,brocade300.dc.demo.io,
dbb48db1-512e-4753-837b-0ed5d1b4a7aa,192.168.97.99,abhishek-test1.dc.demo.io,
e5c100ce-3bfb-4103-90c3-675dbd8f0a21,192.168.97.84,tenable-2sv9fdjp.dc.demo.io,
0f7d2181-95d0-4c60-a2f9-f8ab32dba2aa,192.168.97.97,tenable-714edyfw.dc.demo.io,
d9ea45e1-1d5b-4c73-a6c0-8399cbd0a572,192.168.0.95,fortigate310b.dc.demo.io,
d52605fe-e3fe-4ae4-9e6c-b14896614e5a,172.26.48.118;192.168.48.118,win1064.target.tenablesecurity.com;win1064.dc.demo.io,
d23a19e6-ed80-47a0-8ced-0451fe880acb,192.168.48.123,oracle11g.dc.demo.io,
4f820642-b825-4b66-8124-f25854a7eaf6,192.168.18.231,neng-m1-win2k8r2entx64.agentlab.qa,
3c4fd0f2-807b-4c8f-a491-dfe452d4cbaf,192.168.48.47,ubuntu1804.dc.demo.io,
0bc9065c-d258-47de-8041-de26e217b889,192.168.97.73,desktop-i6uctkn.dc.demo.io,
6d1d554d-90dc-4cbe-b4d1-1a0f9c844d5d,192.168.48.33,ubuntu2010desk.dc.demo.io,
3946353a-3348-44fb-9e57-0cef32327889,192.168.0.70,polycomvvx301.dc.demo.io,
247538fc-e65a-4014-a237-a69de2ceefd0,172.26.48.87;192.168.48.87,winserver2012.target.tenablesecurity.com;winserver2012.dc.demo.io,
b976c3d9-f32a-482e-bf9f-be9c24fc228f,10.0.1.31,ip-10-0-1-31.us-west-1.compute.internal,
bbe5a2d1-1c2d-43f0-9a09-5dfc9d6cd756,54.241.23.59;10.0.1.5;10.0.1.6,ip-10-0-1-5.us-west-1.compute.internal,
7625cb8b-1e97-481e-9a8f-e476e5414e52,10.0.1.31,ip-10-0-1-31.ap-northeast-1.compute.internal,
32d914e2-bb06-44fa-b756-085e1de15f51,10.0.1.7,ip-10-0-1-7.ap-northeast-1.compute.internal,
7a83872c-6880-4a92-b489-1b087799d165,192.168.0.98,ciscosf500.dc.demo.io,
423f6001-5ef6-4172-940d-7d7aa6c3a8a4,172.248.81.216,cpe-172-248-81-216.socal.res.rr.com,
79f3629c-4972-4b41-8e11-8902e5eb23d6,192.168.0.32,appletv.dc.demo.io,
8d512c69-d0cc-4770-bdaf-202678992642,10.0.0.47,ip-10-0-0-47.us-east-2.compute.internal,
a27584f5-ca2e-496d-9db7-0b67bd10ca54,192.168.0.88,rsamanager-win.dc.demo.io,
