Scan ID,Scan Name, Credentials
3,ACME-EMEA-Host-Discovery,None
4,ACME-EMEA-Basic-Network-Scan,None
5,ACME-EMEA-Compliance-CIS,Compliance-Windows-Credentials-Internal-Lab
11,TL-ACME-HQ-Host-Discovery,Compliance-Windows-Credentials-Internal-Lab;Compliance-SSH-Credentials-Internal-Lab
12,TL-Patch Audit Scan,TL-Tenable Labs Windows Credentials
13,TL-Credentialed Linux Scan,TL-Tenable Labs Linux Credentials
14,TL-CIS Windows Server 2016 L1 DC Scan,TL-Tenable Labs Windows Credentials
15,TL-CIS Windows Server 2016 L2 DC Scan,TL-Tenable Labs Windows Credentials
16,TL-CIS Ubuntu 16.04 LTS L1 Scan,TL-Tenable Labs Linux Credentials
17,TL-RHEV Audit Scan,TL-Tenable Labs Linux Credentials
18,TL-WAS Scan - DB credentials,TL-Tenable Labs Windows Credentials;TL-Tenable Labs Linux Credentials
